Model,Accuracy,Precision,Sensitivity,Specificity,TPR,FNR,FPR,TNR,F1 score,"""Pearsonr correlation"":correlation,
            ""P vale"":p_value,Gain"
original RF,0.7586206896551724,0.7352941176470589,0.8333333333333334,0.6785714285714286,0.8333333333333334,0.16666666666666666,0.32142857142857145,0.6785714285714286,0.78125,0.6892857142857143
GA RF,0.8055555555555556,0.7931034482758621,0.8363636363636363,0.7735849056603774,0.8363636363636363,0.16363636363636364,0.22641509433962265,0.7735849056603774,0.8141592920353983,0.777015437392796
DE RF,0.8425925925925926,0.796875,0.9272727272727272,0.7547169811320755,0.9272727272727272,0.07272727272727272,0.24528301886792453,0.7547169811320755,0.8571428571428571,0.8048027444253858
PSO RF,0.7870370370370371,0.7758620689655172,0.8181818181818182,0.7547169811320755,0.8181818181818182,0.18181818181818182,0.24528301886792453,0.7547169811320755,0.7964601769911505,0.7612349914236707
WOA RF,0.8425925925925926,0.8275862068965517,0.8727272727272727,0.8113207547169812,0.8727272727272727,0.12727272727272726,0.18867924528301888,0.8113207547169812,0.8495575221238938,0.8253859348198971
HHO RF,0.8611111111111112,0.8448275862068966,0.8909090909090909,0.8301886792452831,0.8909090909090909,0.10909090909090909,0.16981132075471697,0.8301886792452831,0.8672566371681416,0.7883361921097771
SMA RF,0.8333333333333334,0.8032786885245902,0.8909090909090909,0.7735849056603774,0.8909090909090909,0.10909090909090909,0.22641509433962265,0.7735849056603774,0.8448275862068966,0.8113207547169812
