Model,Accuracy,Precision,Sensitivity,Specificity,TPR,FNR,FPR,TNR,F1 score,Pearsonr correlation,P vale,Gain
PSO LSTM,0.7596153846153846,0.8333333333333334,0.7377049180327869,0.7906976744186046,0.7377049180327869,0.26229508196721313,0.20930232558139536,0.7906976744186046,0.782608695652174,0.5208134638477079,1.4484929622528604e-08,0.6145634769348076
SMA LSTM,0.7019230769230769,0.7586206896551724,0.7213114754098361,0.6744186046511628,0.7213114754098361,0.2786885245901639,0.32558139534883723,0.6744186046511628,0.7394957983193278,0.3923785840067602,3.7952524448993705e-05,0.45101029355699573
