Model,Accuracy,Precision,Sensitivity,Specificity,TPR,FNR,FPR,TNR,F1 score,"""Pearsonr correlation"":correlation,
            ""P vale"":p_value,Gain"
original CNN,0.836363636,0.78125,0.925925926,0.75,0.925925926,0.074074074,0.25,0.75,0.847457627,0.703703704
LASSO CNN,0.846153846,0.941176471,0.786885246,0.930232558,0.786885246,0.213114754,0.069767442,0.930232558,0.857142857,0.839115517
ANOVA CNN,0.875,0.9,0.885245902,0.860465116,0.885245902,0.114754098,0.139534884,0.860465116,0.892561983,0.892870759
GA CNN,0.788461538,0.933333333,0.68852459,0.930232558,0.68852459,0.31147541,0.069767442,0.930232558,0.79245283,0.757148303
DE CNN,0.865384615,0.873015873,0.901639344,0.813953488,0.901639344,0.098360656,0.186046512,0.813953488,0.887096774,0.801753717
PSO CNN,0.778846154,0.913043478,0.68852459,0.906976744,0.68852459,0.31147541,0.093023256,0.906976744,0.785046729,0.760960732
WOA CNN,0.798076923,0.884615385,0.754098361,0.860465116,0.754098361,0.245901639,0.139534884,0.860465116,0.814159292,0.778497903
HHO CNN,0.846153846,0.894736842,0.836065574,0.860465116,0.836065574,0.163934426,0.139534884,0.860465116,0.86440678,0.855890202
SMA CNN,0.865384615,0.927272727,0.836065574,0.906976744,0.836065574,0.163934426,0.093023256,0.906976744,0.879310345,0.839878002
FGOA CNN,0.884615,0.888889,0.918033,0.837209,0.918033,0.081967,0.162791,0.837209,0.903226,0.904689
