Model,Accuracy,Precision,Sensitivity,Specificity,TPR,FNR,FPR,TNR,F1 score,"""Pearsonr correlation"":correlation,
            ""P vale"":p_value,Gain"
original A-LSTM,0.8,0.7352941176470589,0.9259259259259259,0.6785714285714286,0.9259259259259259,0.07407407407407407,0.32142857142857145,0.6785714285714286,0.819672131147541,0.6296296296296293
ANOVA A-LSTM,0.7788461538461539,0.88,0.7213114754098361,0.8604651162790697,0.7213114754098361,0.2786885245901639,0.13953488372093023,0.8604651162790697,0.7927927927927928,0.6130385055280214
