Model,Accuracy,Precision,Sensitivity,Specificity,TPR,FNR,FPR,TNR,F1 score,Pearsonr correlation,P vale,Gain
original LSTM,0.6545454545454545,0.6176470588235294,0.7777777777777778,0.5357142857142857,0.7777777777777778,0.2222222222222222,0.4642857142857143,0.5357142857142857,0.6885245901639344,0.3225806720537667,0.016307040474936065,0.5171957671957674
GA LSTM,0.7307692307692307,0.7894736842105263,0.7377049180327869,0.7209302325581395,0.7377049180327869,0.26229508196721313,0.27906976744186046,0.7209302325581395,0.7627118644067796,0.45381633614347183,1.3095057532473278e-06,0.4940907357987039
DE LSTM,0.7211538461538461,0.7666666666666667,0.7540983606557377,0.6744186046511628,0.7540983606557377,0.2459016393442623,0.32558139534883723,0.6744186046511628,0.7603305785123967,0.42713504225251664,6.128244833122149e-06,0.539458635150591
PSO LSTM,0.7115384615384616,0.7924528301886793,0.6885245901639344,0.7441860465116279,0.6885245901639344,0.3114754098360656,0.2558139534883721,0.7441860465116279,0.7368421052631579,0.4262591291913036,6.432661360195588e-06,0.459016393442623
WOA LSTM,0.6634615384615384,0.7241379310344828,0.6885245901639344,0.627906976744186,0.6885245901639344,0.3114754098360656,0.37209302325581395,0.627906976744186,0.7058823529411765,0.31375166158536705,0.0011815991737976587,0.4532977506671749
HHO LSTM,0.6923076923076923,0.7843137254901961,0.6557377049180327,0.7441860465116279,0.6557377049180327,0.3442622950819672,0.2558139534883721,0.7441860465116279,0.7142857142857143,0.3939610806358391,3.508061707586677e-05,0.4121235226839499
SMA LSTM,0.7019230769230769,0.7586206896551724,0.7213114754098361,0.6744186046511628,0.7213114754098361,0.2786885245901639,0.32558139534883723,0.6744186046511628,0.7394957983193278,0.3923785840067602,3.795252444899337e-05,0.4902783072817385
FGOA LSTM,0.7403846153846154,0.7931034482758621,0.7540983606557377,0.7209302325581395,0.7540983606557377,0.2459016393442623,0.27906976744186046,0.7209302325581395,0.773109243697479,0.4710055064281534,4.511165223674737e-07,0.5787266488753335
