Model,Accuracy,Precision,Sensitivity,Specificity,TPR,FNR,FPR,TNR,F1 score,"""Pearsonr correlation"":correlation,
            ""P vale"":p_value,Gain"
original CNN,0.8363636363636363,0.78125,0.9259259259259259,0.75,0.9259259259259259,0.07407407407407407,0.25,0.75,0.847457627118644,0.7037037037037037
LASSO CNN,0.8461538461538461,0.9411764705882353,0.7868852459016393,0.9302325581395349,0.7868852459016393,0.21311475409836064,0.06976744186046512,0.9302325581395349,0.8571428571428571,0.839115516584064
ANOVA CNN,0.875,0.9,0.8852459016393442,0.8604651162790697,0.8852459016393442,0.11475409836065574,0.13953488372093023,0.8604651162790697,0.8925619834710744,0.8928707586732749
GA CNN,0.7884615384615384,0.9333333333333333,0.6885245901639344,0.9302325581395349,0.6885245901639344,0.3114754098360656,0.06976744186046512,0.9302325581395349,0.7924528301886793,0.7571483034693103
DE CNN,0.8653846153846154,0.873015873015873,0.9016393442622951,0.813953488372093,0.9016393442622951,0.09836065573770492,0.18604651162790697,0.813953488372093,0.8870967741935484,0.8017537171178042
PSO CNN,0.7788461538461539,0.9130434782608695,0.6885245901639344,0.9069767441860465,0.6885245901639344,0.3114754098360656,0.09302325581395349,0.9069767441860465,0.7850467289719626,0.7609607319862752
WOA CNN,0.7980769230769231,0.8846153846153846,0.7540983606557377,0.8604651162790697,0.7540983606557377,0.2459016393442623,0.13953488372093023,0.8604651162790697,0.8141592920353983,0.7784979031643158
HHO CNN,0.8461538461538461,0.8947368421052632,0.8360655737704918,0.8604651162790697,0.8360655737704918,0.16393442622950818,0.13953488372093023,0.8604651162790697,0.864406779661017,0.8558902020587114
SMA CNN,0.8653846153846154,0.9272727272727272,0.8360655737704918,0.9069767441860465,0.8360655737704918,0.16393442622950818,0.09302325581395349,0.9069767441860465,0.8793103448275862,0.8398780022874572
FGOA CNN,0.8846153846153846,0.8888888888888888,0.9180327868852459,0.8372093023255814,0.9180327868852459,0.08196721311475409,0.16279069767441862,0.8372093023255814,0.9032258064516129,0.9046892870758674
