Model,Accuracy,Precision,Sensitivity,Specificity,TPR,FNR,FPR,TNR,F1 score,Gain
original RF,0.8,0.75,0.8888888888888888,0.7142857142857143,0.8888888888888888,0.1111111111111111,0.2857142857142857,0.7142857142857143,0.8135593220338984,0.8677248677248679
GA RF,0.8557692307692307,0.9259259259259259,0.819672131147541,0.9069767441860465,0.819672131147541,0.18032786885245902,0.09302325581395349,0.9069767441860465,0.8695652173913043,0.8757148303469311
DE RF,0.8461538461538461,0.9411764705882353,0.7868852459016393,0.9302325581395349,0.7868852459016393,0.21311475409836064,0.06976744186046512,0.9302325581395349,0.8571428571428571,0.8093785741517348
PSO RF,0.8076923076923077,0.8596491228070176,0.8032786885245902,0.813953488372093,0.8032786885245902,0.19672131147540983,0.18604651162790697,0.813953488372093,0.8305084745762712,0.8543652306519254
WOA RF,0.8557692307692307,0.96,0.7868852459016393,0.9534883720930233,0.7868852459016393,0.21311475409836064,0.046511627906976744,0.9534883720930233,0.8648648648648649,0.8284407167365613
HHO RF,0.8653846153846154,0.9433962264150944,0.819672131147541,0.9302325581395349,0.819672131147541,0.18032786885245902,0.06976744186046512,0.9302325581395349,0.8771929824561403,0.8741898589401449
SMA RF,0.8269230769230769,0.9387755102040817,0.7540983606557377,0.9302325581395349,0.7540983606557377,0.2459016393442623,0.06976744186046512,0.9302325581395349,0.8363636363636363,0.8261532596263819
FGOA RF,0.8269230769230769,0.9215686274509803,0.7704918032786885,0.9069767441860465,0.7704918032786885,0.22950819672131148,0.09302325581395349,0.9069767441860465,0.8392857142857143,0.8231033168128097
